	orig.ident	nCount_RNA	nFeature_RNA	cell_cycle	RNA_snn_res.0.4	seurat_clusters	nCount_unspliced	nFeature_unspliced	nCount_spliced	nFeature_spliced	initial_size_spliced	initial_size_unspliced	initial_size	n_counts	velocity_self_transition	velocity_length	velocity_confidence	velocity_confidence_transition	Endpoints	root_cells	end_points	velocity_pseudotime	latent_time
HEK293T_B20	0	328320.0	11262	3	2	2	248529.0	10075	328320.0	11262	328320.0	248529.0	328320.0	213372.54619883042	0.17491019	51.87	0.9679321395290446	0.594963101214668	0	1.0	1.2186879585282131e-11	0.0038106415886431932	0.0
HEK293T_B21	0	276528.0	10588	3	3	3	205993.0	9603	276528.0	10588	276528.0	205993.0	276528.0	212641.53386998785	0.29599744	77.64	0.9804510185271892	0.49268320877581623	0	5.289425341336889e-10	0.9735109250794872	0.9758408665657043	0.9837210177064768
HEK293T_B22	0	168326.0	9539	2	0	0	122182.0	8480	168326.0	9539	168326.0	122182.0	168326.0	212051.92534130198	0.28094637	62.94	0.9499893806368632	0.4567372521339498	0	8.74074169571278e-07	0.00229711398799622	0.9047244787216187	0.8757906590225101
HEK293T_B23	0	205545.0	10339	2	0	0	139884.0	9069	205545.0	10339	205545.0	139884.0	205545.0	211605.13316791944	0.22014642	69.52	0.9242967280183995	0.5374789278763628	0	7.621507071243399e-08	0.00985624483614321	0.9744604825973511	0.8723133280449051
HEK293T_B24	0	190965.0	9572	1	1	1	142508.0	8872	190965.0	9572	190965.0	142508.0	190965.0	213792.11650302412	0.20046228	65.47	0.9063295370751223	0.5735780506971185	0	3.262895595511868e-06	0.0005453632819478686	0.36909499764442444	0.664110468565996
HEK293T_B25	0	194983.0	10076	1	4	4	95894.0	8339	194983.0	10076	194983.0	95894.0	194983.0	213212.17160470402	0.46188667	47.44	0.7419710439767094	0.2622267443815133	0	5.375505438006734e-06	0.0009747542298857679	0.6087216734886169	0.8059316764743877
HEK293T_B26	0	239435.0	10009	3	1	1	144444.0	8880	239435.0	10009	239435.0	144444.0	239435.0	213377.65313341824	0.055743575	79.09	0.9288845932235216	0.7061673192560095	0	0.019519674056129404	0.0004940618256917541	0.27796581387519836	0.5314431406951549
HEK293T_B27	0	285294.0	10494	3	2	2	186887.0	9332	285294.0	10494	285294.0	186887.0	285294.0	213781.3637931397	0.14736754	53.45	0.9710319170546037	0.6282454400541304	0	0.9205016485503822	8.93721238782248e-11	0.006416215095669031	0.006425646530094445
HEK293T_B28	0	267286.0	9808	1	1	1	106451.0	8492	267286.0	9808	267286.0	106451.0	267286.0	212495.50449705555	0.1487006	67.06	0.9155092381716506	0.6295510158175375	0	3.837767663577673e-06	0.0005062620796705395	0.3589281737804413	0.638104133389113
HEK293T_B29	0	210157.0	9925	2	3	3	120474.0	8760	210157.0	9925	210157.0	120474.0	210157.0	210682.1555503742	0.22114491	80.65	0.9754076594250348	0.5661745251644724	0	2.289295955599527e-08	0.16222036279003071	0.9774461984634399	0.9966558046272018
HEK293T_B30	0	303257.0	10819	3	1	1	173663.0	9684	303257.0	10819	303257.0	173663.0	303257.0	213607.25646893558	0.018933773	83.43	0.9086172601307309	0.7794546187759047	0	0.03661511793491031	0.0004935410767351344	0.1407284140586853	0.46751120875142627
